employee_id,task_type,task_given_date,days_to_deadline,priority,original_completed_days,actual_hours_to_complete,is_completed,rating,perceived_difficulty,primary_skill_matching,secondary_skill_matching,ternary_skill_matching,volume_metric,dependency_score,error_risk,given_day_of_week,given_month,given_year
EMP_001,Code Review,2024-04-07,20,Low,4.0,26.0,1,5.0,2,0.82,0.41,0.07,3,3,2,6,4,2024
EMP_001,Bug Fix,2026-05-26,20,Low,,,0,,2,0.71,0.45,0.17,2,3,3,1,5,2026
EMP_001,Feature Development,2026-03-04,14,High,,,0,,5,0.69,0.2,0.03,5,2,3,2,3,2026
EMP_001,Feature Development,2024-07-18,18,Medium,2.4,22.4,1,5.0,2,0.69,0.41,0.14,2,2,2,3,7,2024
EMP_001,Code Review,2025-04-09,12,Medium,1.1,8.3,1,5.0,1,0.8,0.37,0.12,1,2,0,2,4,2025
EMP_001,Documentation,2024-11-18,16,Low,1.4,10.3,1,5.0,1,0.92,0.43,0.21,1,3,2,0,11,2024
EMP_001,Bug Fix,2026-05-26,14,High,8.5,60.1,1,3.7,4,0.75,0.42,0.16,5,2,2,1,5,2026
EMP_001,Code Review,2026-02-24,7,High,1.3,5.4,1,4.6,2,0.69,0.23,0.1,1,3,2,1,2,2026
EMP_001,Code Review,2024-11-06,8,High,1.0,5.7,1,5.0,0,0.76,0.17,0.11,1,1,0,2,11,2024
EMP_001,Bug Fix,2024-12-06,14,Medium,0.8,4.3,1,5.0,2,0.8,0.5,0.22,1,1,1,4,12,2024
EMP_001,Code Review,2024-06-05,17,Medium,2.6,18.3,1,5.0,2,0.95,0.31,0.14,2,2,2,2,6,2024
EMP_001,Bug Fix,2026-01-21,20,Low,2.1,17.6,1,5.0,2,0.65,0.11,0.01,2,3,1,2,1,2026
EMP_001,Bug Fix,2025-11-28,23,Low,7.1,48.2,1,3.6,4,0.52,0.16,0.09,4,2,2,4,11,2025
EMP_001,System Maintenance,2025-01-30,16,Low,3.0,15.8,1,5.0,2,0.81,0.3,0.14,2,1,0,3,1,2025
EMP_001,System Maintenance,2024-01-29,11,Medium,3.7,21.5,1,4.5,2,0.67,0.46,0.12,2,1,1,0,1,2024
EMP_001,Data Pipeline,2025-04-07,17,Medium,,,0,,2,0.83,0.42,0.14,3,3,2,0,4,2025
EMP_001,Feature Development,2026-02-28,14,Medium,1.1,14.3,1,5.0,1,0.64,0.21,0.1,2,0,1,5,2,2026
EMP_001,Bug Fix,2024-03-06,9,High,2.5,20.2,1,4.6,2,0.82,0.08,0.03,2,2,2,2,3,2024
EMP_001,Documentation,2024-08-25,12,High,8.3,59.8,1,3.4,4,0.96,0.31,0.15,5,4,4,6,8,2024
EMP_001,Feature Development,2024-06-14,14,Medium,,,0,,2,0.64,0.22,0.15,2,1,0,4,6,2024
EMP_001,Bug Fix,2026-05-27,13,Medium,3.7,29.4,1,4.1,3,0.33,0.14,0.09,3,3,3,2,5,2026
EMP_001,Code Review,2025-10-20,21,Low,0.8,11.2,1,5.0,1,0.76,0.19,0.12,2,0,1,0,10,2025
EMP_001,Bug Fix,2026-05-11,13,Medium,3.1,23.7,1,4.9,2,0.83,0.44,0.11,3,2,2,0,5,2026
EMP_001,System Maintenance,2024-06-24,5,High,1.7,9.8,1,4.8,2,0.51,0.18,0.03,1,2,1,0,6,2024
EMP_001,Feature Development,2025-05-22,24,Low,,,0,,2,0.67,0.52,0.21,3,1,2,3,5,2025
EMP_001,Documentation,2026-01-25,24,Low,3.7,25.0,1,3.9,2,0.55,0.17,0.06,3,1,3,6,1,2026
EMP_001,Feature Development,2026-03-17,20,Low,4.2,35.5,1,5.0,2,0.76,0.22,0.09,4,3,1,1,3,2026
EMP_001,Code Review,2024-03-06,5,Critical,2.4,20.5,1,4.6,2,0.76,0.36,0.12,2,1,1,2,3,2024
EMP_001,Code Review,2025-11-20,15,Medium,2.5,14.7,1,4.8,1,0.45,0.42,0.19,2,3,1,3,11,2025
EMP_001,Bug Fix,2025-05-08,15,Medium,3.2,28.4,1,4.7,2,0.65,0.3,0.08,3,2,3,3,5,2025
EMP_001,System Maintenance,2024-11-03,25,Low,6.8,49.8,1,4.5,3,0.81,0.56,0.3,5,3,1,6,11,2024
EMP_001,Documentation,2024-08-09,10,High,3.9,27.8,1,4.0,2,0.9,0.64,0.31,3,2,1,4,8,2024
EMP_001,System Maintenance,2024-09-29,13,High,5.0,34.1,1,3.5,2,0.6,0.3,0.13,4,3,2,6,9,2024
EMP_001,Data Pipeline,2025-01-04,11,Medium,2.1,9.4,1,5.0,2,0.69,0.34,0.1,1,1,1,5,1,2025
EMP_001,Code Review,2025-02-16,10,Critical,7.2,56.6,1,3.3,4,0.79,0.53,0.09,5,3,2,6,2,2025
EMP_001,System Maintenance,2024-06-30,22,Low,3.5,24.4,1,5.0,2,0.87,0.62,0.39,3,1,2,6,6,2024
EMP_001,Bug Fix,2024-06-07,26,Low,4.5,37.2,1,5.0,2,0.94,0.23,0.01,4,3,2,4,6,2024
EMP_001,Bug Fix,2026-03-16,7,High,2.1,20.9,1,3.8,3,0.65,0.18,0.07,2,1,3,0,3,2026
EMP_001,Bug Fix,2026-05-17,17,Medium,,,0,,1,0.69,0.32,0.12,2,2,2,6,5,2026
EMP_001,Feature Development,2026-01-21,8,High,3.6,27.6,1,4.1,3,0.7,0.27,0.04,3,0,1,2,1,2026
EMP_001,Feature Development,2024-09-23,14,Medium,3.5,26.9,1,4.3,4,0.52,0.26,0.03,2,3,4,0,9,2024
EMP_001,Feature Development,2026-04-23,13,Medium,1.5,8.5,1,5.0,2,0.63,0.34,0.13,1,2,3,3,4,2026
EMP_001,Data Pipeline,2025-01-09,12,Low,0.5,7.0,1,5.0,0,0.96,0.39,0.11,1,0,1,3,1,2025
EMP_001,Feature Development,2026-02-11,7,High,0.5,8.1,1,5.0,1,0.6,0.17,0.07,1,2,2,2,2,2026
EMP_001,Feature Development,2024-11-15,11,High,6.4,41.2,1,4.2,3,0.96,0.15,0.02,4,1,0,4,11,2024
EMP_001,Code Review,2025-02-02,9,High,,,0,,2,0.69,0.2,0.02,2,1,1,6,2,2025
EMP_001,Bug Fix,2025-07-12,10,High,2.2,19.7,1,5.0,3,0.57,0.17,0.02,2,1,2,5,7,2025
EMP_001,Data Pipeline,2025-03-22,9,Medium,,,0,,0,0.56,0.19,0.13,1,2,2,5,3,2025
