employee_id,task_id,task_type,task_given_date,days_to_deadline,priority,original_completed_days,actual_hours_to_complete,is_completed,rating,perceived_difficulty,primary_skill_matching,secondary_skill_matching,ternary_skill_matching,volume_metric,dependency_score,error_risk
EMP_001,TSK_0000001,Code Review,2024-04-07,20,Low,4.0,26.0,1,5.0,2,0.82,0.41,0.07,3,3,2
EMP_001,TSK_0000002,Bug Fix,2026-05-26,20,Low,,,0,,2,0.71,0.45,0.17,2,3,3
EMP_001,TSK_0000003,Feature Development,2026-03-04,14,High,,,0,,5,0.69,0.2,0.03,5,2,3
EMP_001,TSK_0000004,Feature Development,2024-07-18,18,Medium,2.4,22.4,1,5.0,2,0.69,0.41,0.14,2,2,2
EMP_001,TSK_0000005,Code Review,2025-04-09,12,Medium,1.1,8.3,1,5.0,1,0.8,0.37,0.12,1,2,0
EMP_001,TSK_0000006,Documentation,2024-11-18,16,Low,1.4,10.3,1,5.0,1,0.92,0.43,0.21,1,3,2
EMP_001,TSK_0000007,Bug Fix,2026-05-26,14,High,8.5,60.1,1,3.7,4,0.75,0.42,0.16,5,2,2
EMP_001,TSK_0000008,Code Review,2026-02-24,7,High,1.3,5.4,1,4.6,2,0.69,0.23,0.1,1,3,2
EMP_001,TSK_0000009,Code Review,2024-11-06,8,High,1.0,5.7,1,5.0,0,0.76,0.17,0.11,1,1,0
EMP_001,TSK_0000010,Bug Fix,2024-12-06,14,Medium,0.8,4.3,1,5.0,2,0.8,0.5,0.22,1,1,1
EMP_001,TSK_0000011,Code Review,2024-06-05,17,Medium,2.6,18.3,1,5.0,2,0.95,0.31,0.14,2,2,2
EMP_001,TSK_0000012,Bug Fix,2026-01-21,20,Low,2.1,17.6,1,5.0,2,0.65,0.11,0.01,2,3,1
EMP_001,TSK_0000013,Bug Fix,2025-11-28,23,Low,7.1,48.2,1,3.6,4,0.52,0.16,0.09,4,2,2
EMP_001,TSK_0000014,System Maintenance,2025-01-30,16,Low,3.0,15.8,1,5.0,2,0.81,0.3,0.14,2,1,0
EMP_001,TSK_0000015,System Maintenance,2024-01-29,11,Medium,3.7,21.5,1,4.5,2,0.67,0.46,0.12,2,1,1
EMP_001,TSK_0000016,Data Pipeline,2025-04-07,17,Medium,,,0,,2,0.83,0.42,0.14,3,3,2
EMP_001,TSK_0000017,Feature Development,2026-02-28,14,Medium,1.1,14.3,1,5.0,1,0.64,0.21,0.1,2,0,1
EMP_001,TSK_0000018,Bug Fix,2024-03-06,9,High,2.5,20.2,1,4.6,2,0.82,0.08,0.03,2,2,2
EMP_001,TSK_0000019,Documentation,2024-08-25,12,High,8.3,59.8,1,3.4,4,0.96,0.31,0.15,5,4,4
EMP_001,TSK_0000020,Feature Development,2024-06-14,14,Medium,,,0,,2,0.64,0.22,0.15,2,1,0
EMP_001,TSK_0000021,Bug Fix,2026-05-27,13,Medium,3.7,29.4,1,4.1,3,0.33,0.14,0.09,3,3,3
EMP_001,TSK_0000022,Code Review,2025-10-20,21,Low,0.8,11.2,1,5.0,1,0.76,0.19,0.12,2,0,1
EMP_001,TSK_0000023,Bug Fix,2026-05-11,13,Medium,3.1,23.7,1,4.9,2,0.83,0.44,0.11,3,2,2
EMP_001,TSK_0000024,System Maintenance,2024-06-24,5,High,1.7,9.8,1,4.8,2,0.51,0.18,0.03,1,2,1
EMP_001,TSK_0000025,Feature Development,2025-05-22,24,Low,,,0,,2,0.67,0.52,0.21,3,1,2
EMP_001,TSK_0000026,Documentation,2026-01-25,24,Low,3.7,25.0,1,3.9,2,0.55,0.17,0.06,3,1,3
